PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,SampleRatio,PlateCutoff
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Ratio of median channel fluorescence of test sample to DMSO control,Average plus five standard deviations of the SampleRatios on a particular assay plate
RESULT_UNIT,,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10,
123,56320994,24981462,CCN1C(=O)[C@@H]2[C@H](C1=O)[C@@]3(CCCCN3[C@@H]2C4=CC=C(C=C4)C5=CC(=CC=C5)Cl)C(=O)OC.C(=O)(C(F)(F)F)O,Inactive,0,,,97.75,215
124,22411921,843022,CCN1C(=NNC1=S)C2=CSC(=C2)C(C)C,Inactive,0,,,100,215
125,51085173,24891886,CC1=CC=C(C=C1)CN2C(=O)C(NC3=C2C(=NC=N3)N4CCN(CC4)C5=CC=CC=C5)CC6=CC=CC=C6.C(=O)(C(F)(F)F)O,Inactive,0,,,95.51,215
126,17432840,2192454,C1=CC=C(C=C1)/C=C/CNN2C=NN=C2SCC3=CC=CC=C3Cl,Inactive,0,,,103.37,215
127,24841587,16197076,CCO[C@H]1[C@@H]([C@H](C=C(O1)C(=O)NC2=CC=CC=C2)C3=CC=C(C=C3)Br)CCCO,Inactive,0,,,100,215
128,22404295,15944972,CC(C)(CO)NCC1=CC(=C(C(=C1)Br)OCC2=CC=C(C=C2)Cl)OC.Cl,Inactive,0,,,104.49,215
129,17516617,6088029,COC1=C(C=CC(=C1)/C=C(\C#N)/C2=CC=CC=N2)OCC3=CC=C(C=C3)Cl,Inactive,0,,,96.63,215
130,17406747,1218173,C1=CC=NC(=C1)N2C(=O)C3=C4C(=C(C=C3)[N+](=O)[O-])C=CC=C4C2=O,Inactive,0,,,149.44,215
131,26727013,5714571,C1=CC=C(C=C1)C2=NC=C(N2)/C=C\3/C4=CC=CC=C4NC3=O,Inactive,0,,,111.24,215
132,49824443,4668907,CN1C=CC(=N1)C(=O)NC2=C(C3=C(S2)CCC3)C(=O)OC,Inactive,0,,,102.25,215
