PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Dose-response
RESULT_TYPE,,,,,,,,STRING
122,24708165,98589,C1C2=CC3=CC=CC=C3N=C2C4=CC=CC(=O)N41,Active,40,,,yes
123,22403043,135521557,COC1=CC=CC2=C1C=C(N2)C(=O)N/N=C/C3=C(C(=CC=C3)OC)O,Active,40,,,yes
124,4243919,3238591,CCOC(=O)C1=C(N=C(S1)NC2=NC3=C(C=CC=C3S2)OC)C,Active,40,,,yes
125,7976888,741270,CN1CCCC2=C1NC(=O)C(=C2)C#N,Active,40,,,yes
126,26666981,1963384,CCC1=NC(=C(C=C1C)C#N)SCC(=O)CC(=O)OCC,Active,40,,,yes
127,866135,667394,CC1=CC=CN2C1=NC3=C(C2=O)C=C(C(=O)N3C4=NOC(=C4)C)C#N,Active,40,,,yes
128,14729897,1483382,CNC(=O)C1=CC=C(S1)C2=CC=C(C=C2)OC,Active,40,,,yes
129,4256061,879392,CCC1=NN=C(S1)NC(=O)CSC2=C(C=C3CCCC3=N2)C#N,Active,40,,,yes
130,3717537,204149,C1=CC=C(C=C1)C2=CN3C=CC=NC3=N2,Active,40,,,yes
131,14722066,2062261,CCOC(=O)CC(=O)CSC1=C(C(=CC(=N1)C)C)C#N,Active,40,,,yes
132,4261762,2941904,C1CC(OC1)CNC2=C(N=C(O2)C3=CC=CS3)C#N,Active,40,,,yes
133,4247506,747239,C1=CC=C(C=C1)C2=CN=C(O2)C3=CC=C(C=C3)C(=O)N,Active,40,,,yes
134,4243113,3237877,CC(=O)C1=CC2=C(O1)C=CC(=C2)O,Active,40,,,yes
135,4248345,3242433,COC1=CC2=NC3=C(C=C2C=C1)C=C(O3)C(=O)NCCCN4CCOCC4,Active,40,,,yes
136,849919,652431,COCCCNC(=O)C1=CC2=C(N=C3C=CC=CN3C2=O)N(C1=N)CC=C,Active,40,,,yes
137,14731433,4272091,CCOC(=O)C1=C(OC(=C(C1C2=CN=CC=C2)C#N)N)CSC3=C(C=CC(=N3)C4=CC=CC=C4)C#N,Active,40,,,yes
138,843296,645576,CC1=CC(=NC(=C1C#N)SCC(=O)CC(=O)OC)C,Active,40,,,yes
139,14741561,3701443,C1CCC23C(C1)C(C(=N)O2)(C(CO3)(C#N)C#N)C#N,Active,40,,,yes
140,4257267,5497677,C1=CC(=CC=C1C2=CC3=C(C=C(C=C3)O)OC2=O)F,Active,40,,,yes
141,4244583,3239161,C=CCN1C2=C(C=C(C1=O)C#N)C(=O)N3C=CC=CC3=N2,Active,40,,,yes
142,17410716,3135656,C1=CC(=CC(=C1)N)C2=NC3=C(O2)C=CC(=C3)S(=O)(=O)C4=CC5=C(C=C4)OC(=N5)C6=CC(=CC=C6)N,Active,40,,,yes
143,17406990,1000338,CCC1=CC=C(S1)C2=NC3=CC(=NN3C(=C2)C(F)(F)F)C(=O)NC4=CN(N=C4)CC5=CC=CC=C5C,Active,40,,,yes
144,14741155,4586692,CCOC1=C(C=C(C=C1)C2C3(C(=N)OC4(O2)CCCCC4C3(C#N)C#N)C#N)OC,Active,40,,,yes
