smiles,new_category
CC1=NN=C(S1)N(CC2=CC=CO2)C(=O)C3=CC=CC(=C3)C#N,0.0
CC1CCC2=C(C1)SC(=N2)NC(=O)CSC3=NN=C(S3)C,0.0
CC1CN(CCN1C2=CC=CC(=C2)C)C(=O)C3=CC=C(O3)CS(=O)(=O)C4=CC=CC=C4C,0.0
CN(C1=CC=CC=C1)S(=O)(=O)C2=C(C=CC(=C2)C(=O)N3CCN(CC3)C4=CC=CC=N4)Cl,0.0
C1CN(CCC1N2C3=C(C=C(C=C3)C(F)(F)F)N=N2)CC4=NN=NN4CC5=CC=CC=C5,0.0
CC1=C(OC2=C1C=C(C=C2)OC)C(=O)OCC(=O)NC(=O)C3=CC=CC=C3,0.0
CCNC(=O)CC1=CC=C(C=C1)Br,0.0
C[N+]1(CCCC1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O.O.Cl.[Cl-],0.0
CC1=NN(C=C1/C=C/2\C(=O)N3C4C(C(N=C3S2)(OC5=CC=CC=C45)C)C(=O)C)C,0.0
CC(C)C(C(=O)NC1=NC2=C(S1)C=C(C=C2)OC)NS(=O)(=O)C3=CC=CS3,0.0
CCCC1=CC(=O)NC(=N1)NCC2=CC=C(C=C2)Cl,0.0
CC1=C(C(=NN1CC2=CC=C(C=C2)Cl)C)NC(=O)C3=NOC4=C3CCCCC4,0.0
CN1C=NC2=C1C(=O)N(C(=O)N2)C,0.0
COCCCN1C=C(C=C(C1=O)C#N)C(=O)C2=CC=CC=C2OCC(=O)NC3=CC(=CC=C3)F,0.0
COC1=C(C=C2C(N(CCC2=C1)C(=O)C3CC3)C4=CC5=CC(=C(C=C5NC4=O)OC)OC)OC,0.0
CC1=CC(=CC(=C1OCCCCN2C=CN=C2)C)Cl,0.0
COC1=CC=C(C=C1)C2=CSC(=N2)NC3=CC=C(C=C3)O.Br,0.0
COC(=O)C1CCCN1C(=O)C2CCCN2C(=O)CNC(=O)OCC3=CC=CC=C3,0.0
CC1=C(C=CC=C1OCC2=CC=CC=C2)OCC3=CC=CC=C3,0.0
CC(C)CN1C=C(C2=C(C1=O)N(C3=CC=CC=C32)C)C(=O)NCC4CCCO4,0.0
CC(CC1=CC=C(C=C1)Cl)N2CCC(CC2)N3C(=CC=N3)NC(=O)C4CCCC4,0.0
CC(C)C1=CC=CC=C1N=C2N(CCS2)C3CCS(=O)(=O)C3,0.0
COC1=CC(=CC(=C1)NC(=O)COC2=CC=C(C=C2)N3C=CN=C3)OC,0.0
CN(C1=NC(=NC2=CC=CC=C21)SC)NC(=O)C3=CC=C(C=C3)F,0.0
C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC4=CC=CC=C4O3)/C=N/NC(=O)C5=CC=CC=C5Br,0.0
CCCCN1C2=CC=CC=C2C(=C(C1=O)C(=O)NC3=C(SC=C3)C(=O)OC)O,0.0
C1=CC=C(C=C1)CC2=CC(=NNC2=O)C3=CC=C(C=C3)F,0.0
COC1=CC=C(C=C1)CC2=NN=C(S2)NC(=O)C3CCCO3,0.0
CCCN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)C3=CN(C4=C(C3=O)C=CC(=N4)C)CC,0.0
C1=CC(=CN=C1)NC(=O)CCC(=O)C2=CC=C(C=C2)Br,0.0
CSC1=NC(=C(C(=O)N1)C(C2=CC=C(C=C2)F)C3=C(N=C(NC3=O)SC)O)O,0.0
COC1=CC=C(C=C1)NC2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=CS4)CC5=CC(=CC=C5)OC,0.0
CC1=CC=C(C=C1)S(=O)(=O)N2C(CCC2=O)C(=O)NC3=CC4=C(C=C3)OCCO4,0.0
COC1=CC=C(C=C1)N2C(=O)C(NC2=O)(C(F)(F)F)NC(=O)C3=CC=NC=C3,0.0
C1=CC=C(C=C1)C(=O)NC2=NC(=O)C3=CC=CC=C3S2,0.0
CC1C(=O)N(/C(=C(/C#N)\C(=O)N)/S1)C2=CC=C(C=C2)F,0.0
COC1=C(C=CC(=C1)C2C(CSC3=C2SC(=O)N3)C(=O)OC)O,0.0
CC(C1=CC2=C(C=C1)OCO2)NC(=O)C3=CN=CC=C3,0.0
C1=CC=C(C=C1)C(=O)COC(=O)CNC2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-],0.0
CC1=CC=C(C=C1)S(=O)(=O)N2CCN(C2C3=CC=CC=C3)S(=O)(=O)C,0.0
COC(=O)C1=C(NN=C1)N,0.0
C1CC(CN(C1)C(=O)CC2=CC(=CC=C2)F)CCC(=O)N3CCN(CC3)C4=CC=CC=N4,0.0
COC1=CC=CC2=C1OC(=O)C(=C2)NC(=O)C3CCCCC3,0.0
CC1=CC=C(C=C1)S(=O)(=O)CCC2=CC=CC=N2,0.0
C1CN(CCN1C2=CC=CC=C2)C(=O)COC(=O)C3=CC=CS3,0.0
C1COCCN1/C=N/S(=O)(=O)C2=CC=C(C=C2)Cl,0.0
COC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C3=CC=CC=C32)O,0.0
C1CC2=CC=CC=C2N(C1)C(=O)NC3=CC(=CC=C3)[N+](=O)[O-],0.0
